word_1	word_2	biword	frequency
PROG	FUT	PROG|FUT	4
FUT	give.food	FUT|give.food	1
go.to	go.over	go.to|go.over	1
1NEG	so	1NEG|so	2
ocean.	PST	ocean.|PST	1
then	all	then|all	1
all	go.over	all|go.over	1
on.arrival	all	on.arrival|all	2
all	come	all|come	2
3SBJ.INDF	PST	3SBJ.INDF|PST	3
PST	dive.before.breakers.come.in	PST|dive.before.breakers.come.in	1
3SBJ.INDF).	PST	3SBJ.INDF).|PST	1
all	go.down.in	all|go.down.in	1
PST	go.in[3sbj]	PST|go.in[3sbj]	1
go.in[3sbj]	EMPH	go.in[3sbj]|EMPH	1
EMPH	put	EMPH|put	1
PST	go.up	PST|go.up	12
river.bank	way.up	river.bank|way.up	1
way.up	lie	way.up|lie	1
PROG	be.large	PROG|be.large	1
PST	look.down	PST|look.down	1
all	come.to.surface	all|come.to.surface	1
3SBJ.STV	PST	3SBJ.STV|PST	4
all	go.off[3sbj].	all|go.off[3sbj].	3
ITER	go.over	ITER|go.over	6
PROG	ITER	PROG|ITER	75
on.arrival	lie.down	on.arrival|lie.down	1
3SBJ.STV	1NEG	3SBJ.STV|1NEG	2
1NEG	ITER	1NEG|ITER	8
ITER	eat	ITER|eat	3
3SBJ.STV	PROG	3SBJ.STV|PROG	13
PROG	behind	PROG|behind	2
go.to	go[1sbj].	go.to|go[1sbj].	4
3SBJ.DEF.	ITER	3SBJ.DEF.|ITER	34
UNK	PROG	UNK|PROG	3
on.arrival	come[3sbj].	on.arrival|come[3sbj].	4
EMPH	leave	EMPH|leave	3
no.	INCH	no.|INCH	1
INCH	relating.to	INCH|relating.to	8
relating.to	fight	relating.to|fight	1
3SBJ.IMPL.	PROG	3SBJ.IMPL.|PROG	9
3NEG	PROG	3NEG|PROG	8
PROG	shoot	PROG|shoot	2
there	PROG	there|PROG	2
rock	PST	rock|PST	1
PST	shoot	PST|shoot	7
(already	CESS	(already|CESS	1
CESS	feel	CESS|feel	1
enough	PST	enough|PST	1
PST	already	PST|already	1
already	CESS	already|CESS	5
CESS	3OBJ	CESS|3OBJ	3
PST	follow	PST|follow	1
3NEG	kill	3NEG|kill	1
(animal).	PROG	(animal).|PROG	1
on.arrival	come[3sbj]	on.arrival|come[3sbj]	5
east	then	east|then	1
then	on.arrival	then|on.arrival	1
on.arrival	go.uphill	on.arrival|go.uphill	1
west	then	west|then	1
then	go.down.into	then|go.down.into	1
